gene	EarlyMean	PreMeiMean	MeiMean	DICMean
METTL7B	0	0	0	0
METTL8	42.7419348127601	52.2785714285714	56.3697536945813	34.504099378882
METTL9	78.8338626907073	22.9185714285714	8.45810344827586	59.8800621118013
MEX3A	12.9356241331484	0.0792592592592594	0	0
MEX3B	0.623585298196949	1.63058201058201	0.0585714285714287	0.61248447204969
MEX3C	11.207052704577	39.3910582010582	61.2748522167488	42.4709316770186
MEX3D	0.119084604715673	0.572539682539683	0.0339901477832513	0.114223602484472
MFAP1	132.073606102635	148.186666666667	147.873522167488	234.507826086957
MFAP2	11.4927669902913	0.358783068783069	0.0173152709359606	0
MFAP3	0.0486685159500694	1.51111111111111	5.95881773399015	3.49173913043478
MFAP3L	1.65296116504854	3.39502645502646	6.99706896551724	37.2167701863354
MFAP4	0	0	0	1.88186335403727
MFAP5	2.11567961165049	0	0	0
MFF	145.748640776699	307.884708994709	316.025738916256	352.286708074534
MFGE8	5.78457697642164	12.2396825396825	0	5.56099378881988
MFHAS1	2.00066574202497	6.00116402116402	0.202167487684729	3.63149068322981
MFI2	1.31588765603329	4.51296296296296	2.34371921182266	0.435590062111802
MFI2-AS1	0	2.70269841269841	2.86049261083744	49.8114906832298
MFN1	3.07006241331484	11.1850264550265	52.8942610837439	77.7106211180124
MFN2	7.04942441054092	23.1042328042328	78.459802955665	67.3540372670808
MFNG	0	0	0	0
MFRP	0	0	0	0
MFSD1	17.6944313453537	21.1180423280423	7.20445812807882	22.948198757764
MFSD10	2.09132454923717	16.1238095238095	13.5902216748768	25.2326086956522
MFSD11	12.320839112344	20.1382010582011	16.1985221674877	15.1252173913044
MFSD12	0.0815672676837726	0.36031746031746	0	12.1025465838509
MFSD2A	2.15970180305132	0	0	0.247515527950311
MFSD2B	0	0	0	0
MFSD3	0	8.12603174603175	1.0014039408867	7.9064596273292
MFSD4	0.0318862690707351	2.92301587301587	3.58581280788177	37.5816149068323
MFSD5	4.47875866851595	9.59529100529101	5.52495073891626	4.42652173913044
MFSD6	0.00346740638002779	2.48624338624339	5.97977832512315	7.17049689440994
MFSD6L	0	0	0	0
MFSD7	0	0	0	0
MFSD8	6.96361997226075	36.6774074074074	34.891724137931	23.304099378882
MFSD9	1.8004507628294	4.29	2.36795566502463	4.65447204968944
MGA	91.2418238557559	92.6904761904762	215.254507389163	134.976832298137
MGAM	0	0	0.0251970443349755	0
MGAM2	0	0	0	0
MGARP	0	0.298571428571429	0.670418719211823	0
MGAT1	33.9883980582524	24.2731216931217	20.8506403940887	8.22732919254659
MGAT2	10.3029403606103	13.627671957672	30.5013793103448	10.5762732919255
MGAT3	7.32249653259362	0.0133333333333334	0.0926354679802956	0
MGAT3-AS1	0	0	0	0
MGAT4A	6.2793411927878	20.9615343915344	5.39568965517241	52.0175155279503
MGAT4B	0.174694868238558	0.470687830687831	0.154852216748769	0.0209937888198758
MGAT4C	0	0	0	11.6080745341615
MGAT4D	0	0	0.0153694581280789	0
MGAT4EP	0	0	0	0
MGAT5	58.1355963938974	8.95153439153439	0.239556650246306	21.1139130434783
MGAT5B	0.0427184466019418	0	0	6.12540372670808
MGC12916	0	0	0	0
MGC15885	0	0	0	0
MGC16025	0	0	0	0
MGC16142	0	0	0	0
MGC16275	0.981615811373093	0.0380952380952381	0	0.374099378881988
MGC27345	1.25257975034674	3.08619047619048	1.27593596059113	0.247018633540373
MGC27382	0	0	0	0
MGC2889	0	0	0	0
MGC32805	0.0839181692094314	0	0	0.879068322981367
MGC34796	0	0	0	0
MGC45922	0	0	4.50857142857143	1.15931677018634
MGC57346	7.16917475728155	12.0077248677249	9.75467980295567	4.36341614906832
MGC57346-CRHR1	0	0	0	0
MGC72080	0.160436893203884	9.6594708994709	6.41088669950739	46.8785714285714
MGEA5	104.516927877947	66.5202116402116	59.0158374384237	43.1889440993789
MGLL	0.911823855755896	0	0	0
MGME1	51.8585020804438	56.4974603174603	100.22421182266	60.7209937888199
MGMT	59.3117267683773	144.601851851852	35.8918965517241	134.132919254658
MGP	0	0	0	0
MGRN1	1.92196948682386	1.64539682539683	0.189334975369458	20.6645341614907
MGST1	12.8264077669903	8.59322751322751	0	0.108260869565217
MGST2	23.5408876560333	19.560582010582	2.81721674876847	64.8766459627329
MGST3	766.205194174757	119.575767195767	40.6186206896552	114.466335403727
MHRT	0	0	0	0
MIA	0.388065187239945	0	0	0
MIA-RAB4B	0	0	0	0
MIA2	0	0	0	0
MIA3	42.5828363384189	85.051164021164	86.1166995073892	105.661677018634
MIAT	1.32188626907074	0	0	0
MIATNB	0	0	0	0
MIB1	18.1983217753121	32.5780423280423	50.9833990147783	29.5730434782609
MIB2	0.0620041608876561	1.38751322751323	4.55997536945813	6.80627329192547
MICA	2.54943134535368	47.25	36.7186699507389	14.9236024844721
MICAL1	32.7553398058252	15.1195767195767	19.2804679802956	1.85534161490683
MICAL2	0	0	0.00394088669950741	49.3101863354037
MICAL3	18.6792649098474	28.4878306878307	34.3560591133005	37.5803105590062
MICALCL	0	0	0	0.851614906832299
MICALL1	0.265755894590846	3.06899470899471	0.346157635467981	2.42409937888199
MICALL2	0.0798266296809987	4.35354497354497	0.922216748768473	24.781801242236
MICB	8.55593619972261	17.6833862433862	0.305517241379311	0
MICU1	110.558446601942	118.975291005291	154.111330049261	87.7242236024845
MICU2	116.942184466019	111.951904761905	55.9483004926108	94.0711801242236
MICU3	1.67502080443828	1.67407407407407	9.60660098522168	0.632732919254659
MID1	0	0	0	0
MID1IP1	2.17667128987517	0.554285714285714	0.319704433497537	0.252608695652174
MID1IP1-AS1	0	0	0	0
MID2	0	0	0.0250738916256158	0
MIDN	2.50135228848821	0.251216931216931	0	0
MIEF1	14.0856796116505	43.2135978835979	38.2131034482759	35.9272049689441
MIEF2	0.433911234396672	0	0	0.171677018633541
MIEN1	163.510270457698	180.707407407407	27.0726108374384	168.171739130435
MIER1	75.4254507628294	139.934232804233	107.612561576355	297.461739130435
MIER2	24.2765880721221	13.8733862433862	13.5498275862069	27.4313043478261
MIER3	17.9621289875173	24.6955555555556	14.8128325123153	16.0481366459627
MIF	0	0	0	0
MIF-AS1	0	0	0	0
MIF4GD	9.01627600554785	6.7731746031746	3.89096059113301	1.01496894409938
MIIP	136.18407073509	100.092116402116	28.4331527093596	116.69652173913
MILR1	0	0	0	0
MIMT1	0	0	0	0
MINA	9.01375173370319	14.2650793650794	2.6173645320197	18.1523602484472
MINK1	0.0942094313453538	1.13153439153439	1.22689655172414	5.10645962732919
MINOS1	278.908585298197	614.777936507936	506.134359605911	440.051118012422
MINOS1-NBL1	0	0	0	0
MINOS1P1	0	0	0	0
MINPP1	1.54469486823856	13.6148148148148	16.7877832512315	13.7017391304348
MIOS	15.1896671289875	42.5048677248677	61.4774137931035	47.598447204969
MIOX	0	0	0	0
MIP	0	0.0190476190476191	0.405344827586207	0
MIPEP	51.1198474341193	64.716455026455	4.75162561576355	9.78229813664596
MIPEPP3	0	0	0.750467980295567	0
MIPOL1	2.42827323162275	11.0104761904762	9.73504926108374	5.07590062111801
MIS12	5.25866158113731	7.8789417989418	13.5760344827586	7.86552795031056
MIS18A	208.685006934813	210.552116402116	207.605344827586	168.769254658385
MIS18BP1	335.34773925104	263.826666666667	313.203596059113	330.179565217391
MISP	0	0	0	0.147329192546584
MITD1	6.89139389736477	5.65349206349206	13.8240640394089	17.4073913043478
MITF	0.211074895977809	0.400793650793651	2.86822660098522	16.8701863354037
MIXL1	1.65844660194175	0	0	14.7509937888199
MKI67	67.4377600554785	71.342962962963	1.53399014778325	0.418447204968944
MKKS	250.300117891817	222.16619047619	346.790738916256	576.342236024845
MKL1	1.9948613037448	1.56296296296296	12.109236453202	15.3346583850932
MKL2	14.4840013869626	22.3924867724868	37.3469458128079	23.1376397515528
MKLN1	46.9419001386963	61.9833862433862	63.9376600985222	64.2390062111801
MKLN1-AS	0	0.682804232804233	0.105886699507389	0.0457142857142858
MKNK1	12.1725450762829	12.7749206349206	2.07573891625616	27.6594409937888
MKNK1-AS1	0	0	0	2.46
MKNK2	4.72802357836339	40.8499470899471	62.5888177339902	88.3016770186336
MKRN1	446.736151178918	73.8498412698413	34.4117487684729	47.124347826087
MKRN2	36.9320180305132	38.0988888888889	93.3360591133005	98.5951552795031
MKRN2OS	0	0	0.0338669950738917	0.0596273291925467
MKRN3	0	0	0	0
MKRN7P	0	0	0	0
MKRN9P	0	0	0	0
MKS1	26.2780443828017	41.2415343915344	45.8383004926108	25.6296273291926
MKX	0	0	0	0
MKX-AS1	0	0	0	0
MLANA	0	0	0	0
MLC1	0	0	0	0
MLEC	516.457954230236	184.608994708995	87.7878571428571	65.3118633540373
MLF1	88.4151525658807	364.339788359788	556.485344827586	268.364285714286
MLF2	68.7787586685159	130.884232804233	120.967832512315	153.90049689441
MLH1	71.0887031900139	131.32126984127	125.556798029557	50.8145341614907
MLH3	30.5154438280166	19.648253968254	39.8165517241379	28.4085714285714
MLIP	0	0	0	0
MLIP-IT1	0	0	0	0
MLK7-AS1	0.749375866851595	4.92259259259259	3.85532019704434	21.6371428571429
MLKL	0	0	0	0.61192546583851
MLLT1	6.41902912621359	0.0317460317460318	3.37864532019704	5.15664596273292
MLLT10	48.0885367545076	91.5480423280423	144.145517241379	71.0593167701863
